TIMESTAMP_ISO,External_Temp,Conductivity_us,SpConductivity_us,Salinity,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PE_RFU,BGA_PE_ugL,Lat,Long,ODO_Sat,Depth
2025-04-26T11:00:00,5.478525,30335.88,48371.79,30.95773,5.751317,1.437829,2.352374,6.586646,-68,44,4,1
2025-04-26T12:00:00,5.584573,30464.24,48420.08,31.00454,2.185758,0.5464394,1.552133,4.345972,-68,44,4,1
2025-04-26T13:00:00,5.682463,30500.53,48334.13,30.95522,2.256493,0.5641232,1.435111,4.01831,-68,44,4,1
2025-04-26T14:00:00,5.696657,30517.43,48340.14,30.96114,1.577285,0.3943212,1.170801,3.278243,-68,44,4,1
2025-04-26T15:00:00,5.701389,30501.68,48308.28,30.93913,1.95735,0.4893375,1.447126,4.051953,-68,44,4,1
2025-04-26T16:00:00,5.652174,30517.87,48405.98,31.00254,2.666877,0.6667193,1.576206,4.413376,-68,44,4,1
2025-04-26T17:00:00,5.658585,30522.96,48404.66,31.00237,2.427649,0.6069122,1.249452,3.498465,-68,44,4,1
2025-04-26T18:00:00,5.628372,30498.02,48409.41,31.00217,4.444035,1.111009,1.790135,5.012378,-68,44,4,1
2025-04-26T19:00:00,5.616226,30462.8,48371.31,30.97377,3.826636,0.956659,2.275274,6.370767,-68,44,4,1
2025-04-26T20:00:00,5.637696,30460.8,48336.66,30.95177,3.671361,0.9178402,2.162972,6.056322,-68,44,4,1
2025-04-26T21:00:00,5.690208,30474.42,48281.43,30.91883,2.635989,0.6589972,2.513206,7.036975,-68,44,4,1
2025-04-26T22:00:00,5.649874,30465.23,48325.86,30.94556,2.694785,0.6736963,2.831113,7.927116,-68,44,4,1
2025-04-27T00:00:00,5.710967,30538.27,48352.22,30.97136,3.047275,0.7618187,2.124093,5.947461,-68,44,4,1
2025-04-27T01:00:00,5.692444,30490.1,48303,30.93435,2.764061,0.6910153,2.152182,6.02611,-68,44,4,1
2025-04-27T02:00:00,5.700189,30508.91,48321.48,30.94835,2.346677,0.5866692,1.590631,4.453766,-68,44,4,1
2025-04-27T03:00:00,5.791157,30479.14,48141.84,30.83169,3.162767,0.7906917,1.962729,5.49564,-68,44,4,1
2025-04-27T04:00:00,5.85129,30447.13,48004.21,30.74112,2.230968,0.5577421,0.6751477,1.890414,-68,44,4,1
2025-04-27T05:00:00,5.845354,30344.68,47851.23,30.63221,2.669359,0.6673397,1.409019,3.945253,-68,44,4,1
2025-04-27T06:00:00,5.837551,30405.98,47959.16,30.7077,1.85984,0.4649599,0.8568093,2.399066,-68,44,4,1
2025-04-27T07:00:00,5.798808,30473.39,48121.65,30.81828,2.678213,0.6695532,1.67459,4.688852,-68,44,4,1
2025-04-27T08:00:00,5.77178,30290.26,47871.5,30.6382,2.282918,0.5707296,1.006351,2.817784,-68,44,4,1
2025-04-27T09:00:00,5.830939,30407.07,47970.44,30.71491,1.935791,0.4839478,0.8809956,2.466788,-68,44,4,1
2025-04-27T10:00:00,5.72982,30421.16,48139.35,30.82286,1.719859,0.4299648,0.812794,2.275823,-68,44,4,1
2025-04-27T11:00:00,5.680577,30438.86,48239.16,30.88779,2.440936,0.6102341,1.717187,4.808124,-68,44,4,1
2025-04-27T12:00:00,5.707903,30464.94,48240.59,30.89198,2.157967,0.5394917,1.715695,4.803946,-68,44,4,1
